lmr_id,fy_qtr,cat_type,category,subcategory,netsales,litres,created_at
6122,FY2018Q2,Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,6354723,223215,2025-06-17T02:36:14Z
6127,FY2018Q2,Spirits,Liqueurs,Coffee And Cocoa Liqueurs,1701925,70006,2025-06-17T02:36:14Z
6132,FY2018Q2,Spirits,Liqueurs,Cream/Dairy Liqueurs,7064873,286606,2025-06-17T02:36:14Z
6137,FY2018Q2,Spirits,Liqueurs,Fruit Liqueurs,4309231,160244,2025-06-17T02:36:14Z
6142,FY2018Q2,Spirits,Liqueurs,Nut Liqueurs,1518074,65897,2025-06-17T02:36:14Z
6147,FY2018Q2,Spirits,Liqueurs,Other Liqueurs,663002,23323,2025-06-17T02:36:14Z
6152,FY2018Q2,Spirits,Liqueurs,Whiskey Liqueurs,1385397,46157,2025-06-17T02:36:14Z
6157,FY2018Q2,Spirits,Other Spirits,Cachaca,39399,1190,2025-06-17T02:36:14Z
6162,FY2018Q2,Spirits,Other Spirits,Flavoured Spirits,940421,20503,2025-06-17T02:36:14Z
6167,FY2018Q2,Spirits,Other Spirits,Miscellaneous/Other Spirits,447157,9508,2025-06-17T02:36:14Z
6172,FY2018Q2,Spirits,Other Spirits,Moonshine Spirits,240748,6942,2025-06-17T02:36:14Z
6177,FY2018Q2,Spirits,Other Spirits,Ready to Mix Cocktails,714083,35090,2025-06-17T02:36:14Z
6182,FY2018Q2,Spirits,Other Spirits,Ready to Serve Cocktails,673422,29529,2025-06-17T02:36:14Z
6187,FY2018Q2,Spirits,Other Spirits,Schnapps and Akvavit,79136,2002,2025-06-17T02:36:14Z
6192,FY2018Q2,Spirits,Rum,Amber Rum,5417327,204508,2025-06-17T02:36:14Z
6197,FY2018Q2,Spirits,Rum,Dark Rum,2684784,103024,2025-06-17T02:36:14Z
6202,FY2018Q2,Spirits,Rum,Flavoured Rum,387325,16144,2025-06-17T02:36:14Z
6207,FY2018Q2,Spirits,Rum,Spiced Rum,7453368,269840,2025-06-17T02:36:14Z
